Location,PVOUT_01,PVOUT_02,PVOUT_03,PVOUT_04,PVOUT_05,PVOUT_06,PVOUT_07,PVOUT_08,PVOUT_09,PVOUT_10,PVOUT_11,PVOUT_12
Adelaide,5.631999969482422,5.389999866485596,4.874000072479248,4.178999900817871,3.135999917984009,2.9189999103546143,2.9170000553131104,3.561000108718872,4.367000102996826,5.046999931335449,5.195000171661377,5.224999904632568
Albany,4.813000202178955,4.433000087738037,3.9609999656677246,3.38100004196167,3.003000020980835,2.7920000553131104,2.76200008392334,3.2300000190734863,3.7890000343322754,4.210999965667725,4.5329999923706055,4.763999938964844
Albury,5.369999885559082,5.188000202178955,5.004000186920166,4.4770002365112305,3.552000045776367,3.0450000762939453,2.9860000610351562,3.694999933242798,4.666999816894531,5.127999782562256,5.041999816894531,5.185999870300293
AliceSprings,4.913000106811523,5.3429999351501465,5.377999782562256,5.491000175476074,5.089000225067139,4.960999965667725,5.190999984741211,5.73199987411499,5.646999835968018,5.545000076293945,4.964000225067139,4.752999782562256
BadgerysCreek,4.24399995803833,3.9159998893737793,4.035999774932861,4.001999855041504,4.122000217437744,3.378000020980835,4.1020002365112305,4.538000106811523,4.9039998054504395,4.526000022888184,4.195000171661377,4.176000118255615
Ballarat,5.320000171661377,5.000999927520752,4.53000020980835,3.5950000286102295,2.7290000915527344,2.380000114440918,2.4769999980926514,3.0859999656677246,3.7839999198913574,4.446000099182129,4.598999977111816,4.947000026702881
Bendigo,5.539999961853027,5.369999885559082,5.001999855041504,4.313000202178955,3.319000005722046,2.9010000228881836,2.805999994277954,3.558000087738037,4.366000175476074,5.050000190734863,4.97599983215332,5.304999828338623
Brisbane,4.15500020980835,4.2270002365112305,4.083000183105469,4.295000076293945,4.224999904632568,3.7339999675750732,4.281000137329102,4.802999973297119,4.824999809265137,4.734000205993652,4.570000171661377,4.186999797821045
Cairns,4.201000213623047,4.142000198364258,4.189000129699707,4.228000164031982,3.9649999141693115,3.8580000400543213,4.056000232696533,4.691999912261963,5.074999809265137,5.007999897003174,4.75,4.611999988555908
Canberra,5.046000003814697,4.684000015258789,4.728000164031982,4.320000171661377,4.186999797821045,3.378000020980835,3.8429999351501465,4.368000030517578,5.0329999923706055,5.059999942779541,4.828000068664551,4.923999786376953
Cobar,5.146999835968018,5.123000144958496,5.184999942779541,5.039999961853027,4.406000137329102,3.8010001182556152,4.298999786376953,4.828999996185303,5.376999855041504,5.460999965667725,5.0229997634887695,5.127999782562256
CoffsHarbour,4.379000186920166,4.448999881744385,4.289000034332275,4.298999786376953,4.2270002365112305,3.6989998817443848,4.251999855041504,4.816999912261963,4.896999835968018,4.699999809265137,4.432000160217285,4.28000020980835
Dartmoor,5.073999881744385,4.675000190734863,4.14300012588501,3.25600004196167,2.515000104904175,2.3499999046325684,2.490000009536743,2.9539999961853027,3.5880000591278076,4.1529998779296875,4.333000183105469,4.769999980926514
